InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
8990,10/18/2018 5:00:00 PM,7490067968,12266080,7925881.5,79.258815,79.258815,79.258815,7490068000,12266080,7925882,79.25881,79.25881,79.25881,7490068000,12266080,7925882,79.25881,79.25881,79.25881,0
9408,10/18/2018 3:00:00 AM,2322418688,3564154,2457549.5,24.575495,24.575495,24.575495,2322419000,3564154,2457550,24.57549,24.57549,24.57549,2322419000,3564154,2457550,24.57549,24.57549,24.57549,1
9370,10/10/2018 5:00:00 AM,3454245888,3388014,3655284.75,0.63913275,0.0919241875,0.36552846875,3454246000,3388014,3655285,0.6391327,0.09192419,0.3655285,3454246000,3388014,3655285,0.6391327,0.09192419,0.3655285,0
8156,10/28/2018 7:00:00 AM,453888896,506960,480375.4375,0.09421485625,0.0018602318359375,0.0480375440429688,453888900,506960,480375.4,0.09421486,0.001860232,0.04803754,453888900,506960,480375.4,0.09421486,0.001860232,0.04803754,0
9045,10/9/2018 11:00:00 PM,39807512,371950,42123.75,0.4212375,0.4212375,0.4212375,39807510,371950,42123.75,0.4212375,0.4212375,0.4212375,39807510,371950,42123.75,0.4212375,0.4212375,0.4212375,0
9404,10/23/2018 10:00:00 PM,34651816,117976,36667.61328125,0.3666761328125,0.3666761328125,0.3666761328125,34651820,117976,36667.61,0.3666761,0.3666761,0.3666761,34651820,117976,36667.61,0.3666761,0.3666761,0.3666761,0
7276,10/20/2018 8:00:00 PM,228534665216,171014336,241832736,48.0799488,0.28659845,24.183273625,228534700000,171014300,241832700,48.07995,0.2865984,24.18327,228534700000,171014300,241832700,48.07995,0.2865984,24.18327,0
9404,10/21/2018 8:00:00 PM,33605192,122574,35563.2890625,0.355632890625,0.355632890625,0.355632890625,33605190,122574,35563.29,0.3556329,0.3556329,0.3556329,33605190,122574,35563.29,0.3556329,0.3556329,0.3556329,0
9045,10/15/2018 8:00:00 PM,39819856,371892,42136.796875,0.42136796875,0.42136796875,0.42136796875,39819860,371892,42136.8,0.421368,0.421368,0.421368,39819860,371892,42136.8,0.421368,0.421368,0.421368,0
9369,10/13/2018 7:00:00 AM,2028854528,2812134,4741364,47.414355,47.41292,47.4136375,2028855000,2812134,4741364,47.41436,47.41292,47.41364,2028855000,2812134,4741364,47.41436,47.41292,47.41364,0
9045,10/12/2018 6:00:00 AM,380101344,465018,402220.28125,4.0222028125,4.0222028125,4.0222028125,380101300,465018,402220.3,4.022203,4.022203,4.022203,380101300,465018,402220.3,4.022203,4.022203,4.022203,0
9408,10/10/2018 12:00:00 AM,1772020480,909910,2187657,21.87657,21.87657,21.87657,1772020000,909910,2187657,21.87657,21.87657,21.87657,1772020000,909910,2187657,21.87657,21.87657,21.87657,0
8084,10/30/2018 3:00:00 PM,156571664,273429,165810.234375,0.02892350625,0.004238540234375,0.0165810232421875,156571700,273429,165810.2,0.02892351,0.00423854,0.01658102,156571700,273429,165810.2,0.02892351,0.00423854,0.01658102,0
9370,10/20/2018 8:00:00 PM,3254838528,2745730,3444203.75,0.66944415,0.0193966234375,0.34442038671875,3254839000,2745730,3444204,0.6694441,0.01939662,0.3444204,3254839000,2745730,3444204,0.6694441,0.01939662,0.3444204,0
8990,10/12/2018 3:00:00 AM,3312972032,7065904,4089983,40.89983,40.89983,40.89983,3312972000,7065904,4089983,40.89983,40.89983,40.89983,3312972000,7065904,4089983,40.89983,40.89983,40.89983,0
9408,10/13/2018 12:00:00 AM,856009792,740584,1056725.125,10.56725125,10.56725125,10.56725125,856009800,740584,1056725,10.56725,10.56725,10.56725,856009800,740584,1056725,10.56725,10.56725,10.56725,0
9370,10/13/2018 2:00:00 AM,247370809344,228304976,261761824,50.3756384,1.976726,26.1761822,247370800000,228305000,261761800,50.37564,1.976726,26.17618,247370800000,228305000,261761800,50.37564,1.976726,26.17618,0
8149,10/25/2018 9:00:00 AM,2882374144,6896540,3557679.5,0.31643455,0.395101325,0.3557679375,2882374000,6896540,3557680,0.3164346,0.3951013,0.3557679,2882374000,6896540,3557680,0.3164346,0.3951013,0.3557679,0
9049,10/17/2018 1:00:00 AM,739686784,387550,913177.3125,9.131773125,9.131773125,9.131773125,739686800,387550,913177.3,9.131773,9.131773,9.131773,739686800,387550,913177.3,9.131773,9.131773,9.131773,0
9404,10/30/2018 7:00:00 AM,45351088,123690,47988.59765625,0.4798859765625,0.4798859765625,0.4798859765625,45351090,123690,47988.6,0.479886,0.479886,0.479886,45351090,123690,47988.6,0.479886,0.479886,0.479886,0
9370,10/23/2018 7:00:00 PM,24319848448,19391980,25725030,5.0854132,0.0595927375,2.57250296875,24319850000,19391980,25725030,5.085413,0.05959274,2.572503,24319850000,19391980,25725030,5.085413,0.05959274,2.572503,0
8149,10/11/2018 11:00:00 PM,4600681472,10166644,4866328.5,0.4039762,0.5692895,0.48663285,4600681000,10166640,4866329,0.4039762,0.5692895,0.4866329,4600681000,10166640,4866329,0.4039762,0.5692895,0.4866329,0
7276,10/21/2018 1:00:00 PM,6520261120,6775226,8049675.5,1.5888871,0.0210479578125,0.80496752890625,6520261000,6775226,8049676,1.588887,0.02104796,0.8049675,6520261000,6775226,8049676,1.588887,0.02104796,0.8049675,0
9049,10/12/2018 3:00:00 AM,100273856,294746,106108.828125,1.06108828125,1.06108828125,1.06108828125,100273900,294746,106108.8,1.061088,1.061088,1.061088,100273900,294746,106108.8,1.061088,1.061088,1.061088,0
